ID,age,condition,amplitude,freq
33,12,control,-10700.45893,3.5
35,12,control,-9546.377368,3.5
41,12,control,18414.71231,3.5
50,12,control,75146.49033,3.5
55,12,control,-32185.99493,3.5
57,12,control,13972.89276,3.5
58,12,control,-15859.49005,3.5
59,12,control,-29968.5455,3.5
67,12,control,19530.18362,3.5
69,12,control,5876.114934,3.5
71,12,control,-22705.03566,3.5
73,12,control,-31518.78918,3.5
80,12,control,-31706.32249,3.5
82,12,control,13171.57939,3.5
